,County,Income per Capita,Population,Doses,Doses per Capita
293,"Grand, CO",51891,15734,,
294,"Gunnison, CO",48853,17462,,
295,"Hinsdale, CO",50294,820,,
296,"Huerfano, CO",41561,6897,,
297,"Jackson, CO",55715,1392,,
298,"Jefferson, CO*",66017,582881,,
299,"Kiowa, CO",54765,1406,,
300,"Kit Carson, CO",45658,7097,,
301,"Lake, CO",37391,8127,,
302,"La Plata, CO",58216,56221,,
303,"Larimer, CO",55884,356899,,
304,"Las Animas, CO",39762,14506,,
305,"Lincoln, CO",30855,5701,,
306,"Logan, CO",46697,22409,,
307,"Mesa, CO",46719,154210,,
308,"Mineral, CO",75044,769,,
309,"Moffat, CO",43842,13283,,
310,"Montezuma, CO",43542,26183,,
311,"Montrose, CO",41852,42758,,
312,"Morgan, CO",47774,29068,,
313,"Otero, CO",39708,18278,,
314,"Ouray, CO",64076,4952,,
315,"Park, CO",46261,18845,,
316,"Phillips, CO",49259,4265,,
317,"Pitkin, CO",158313,17767,,
318,"Prowers, CO",44623,12172,,
319,"Pueblo, CO",40680,168424,,
320,"Rio Blanco, CO",49846,6324,,
321,"Rio Grande, CO",50408,11267,,
322,"Routt, CO",81699,25638,,
323,"Saguache, CO",37022,6824,,
324,"San Juan, CO",47933,728,,
325,"San Miguel, CO",90444,8179,,
326,"Sedgwick, CO",48824,2248,,
327,"Summit, CO",71479,31011,,
328,"Teller, CO",51206,25388,,
329,"Washington, CO",43765,4908,,
330,"Weld, CO*",50198,324492,,
331,"Yuma, CO",49201,10019,,
332,"Fairfield, CT",121397,943332,,
333,"Hartford, CT",65720,891720,,
334,"Litchfield, CT",65458,180333,,
335,"Middlesex, CT",69167,162436,,
336,"New Haven, CT",57748,854757,,
337,"New London, CT",59717,265206,,
338,"Tolland, CT",57307,150721,,
339,"Windham, CT",47618,116782,,
340,"Kent, DE",43097,180786,,
341,"New Castle, DE",59175,558753,,
342,"Sussex, DE",52085,234225,,
343,"District of Columbia, DC",83406,705749,,
344,"Alachua, FL",46690,269043,,
345,"Baker, FL",33254,29210,,
346,"Bay, FL",45690,174705,,
347,"Bradford, FL",34179,28201,,
348,"Brevard, FL",47911,601942,,
349,"Broward, FL",52308,1952778,,
350,"Calhoun, FL",29526,14105,,
351,"Charlotte, FL",42793,188910,,
352,"Citrus, FL",39055,149657,,
353,"Clay, FL",44042,219252,,
354,"Collier, FL",99382,384902,,
355,"Columbia, FL",35583,71686,,
356,"DeSoto, FL",26128,38001,,
357,"Dixie, FL",28314,16826,,
358,"Duval, FL",47475,957755,,
359,"Escambia, FL",44349,318316,,
360,"Flagler, FL",47558,115081,,
361,"Franklin, FL",37320,12125,,
362,"Gadsden, FL",35885,45660,,
363,"Gilchrist, FL",34756,18582,,
364,"Glades, FL",26102,13811,,
